Subject,Session,Force,IsOutlier,Object,Target,Ideal,IdealInterp
1,1,310.993557142744,0,1,2,385.562017464148,385.562017464148
1,1,357.2234980612,0,1,2,333.847020107167,333.847020107167
1,1,369.518088691887,0,1,2,317.242218569864,317.242218569864
1,1,433.972781466025,0,1,2,391.5579265299,391.5579265299
1,1,323.792905402255,0,1,2,325.96167444846,325.96167444846
1,1,344.226398121642,0,1,2,268.657632444961,268.657632444961
1,1,394.441019952135,0,1,2,308.200320928673,308.200320928673
1,1,380.883629473452,0,1,2,307.794819355583,307.794819355583
1,1,337.954776792127,0,1,2,237.398860292917,237.398860292917
1,1,366.26146621785,0,1,2,282.901978932154,282.901978932154
1,1,485.968454336718,0,2,2,491.418279724651,491.418279724651
1,1,394.467357889321,0,2,2,431.382489264046,431.382489264046
1,1,368.139429017727,0,2,2,346.398137722774,346.398137722774
1,1,425.878514884537,0,2,2,407.986607651441,407.986607651441
1,1,392.926931411477,0,2,2,340.939917922864,340.939917922864
1,1,353.28864276652,0,2,2,395.676049719933,395.676049719933
1,1,333.246362437872,0,2,2,342.815047598922,342.815047598922
1,1,456.231800650031,0,2,2,336.275915070109,336.275915070109
1,1,318.543825743513,0,2,2,300.121671943977,300.121671943977
1,1,323.227799776816,0,2,2,296.392054513452,296.392054513452
1,1,325.846638263014,0,4,2,572.11834991722,572.11834991722
1,1,509.943597062018,0,4,2,454.276966914037,454.276966914037
1,1,338.625967428606,0,4,2,542.728252485945,542.728252485945
1,1,512.022977738789,0,4,2,470.008110590942,470.008110590942
1,1,421.955126681439,0,4,2,512.604674956747,512.604674956747
1,1,404.755273355947,0,4,2,414.12165457193,414.12165457193
1,1,441.470504747042,0,4,2,476.01894169613,476.01894169613
1,1,351.452568143191,0,4,2,570.795337002315,570.795337002315
1,1,64.7125390819917,0,4,2,344.537913008438,344.537913008438
1,1,475.713176573303,0,4,2,352.996122917395,352.996122917395
1,1,450.005377021235,0,5,2,638.509763061661,638.509763061661
1,1,332.953791248476,0,5,2,601.752108535488,601.752108535488
1,1,462.787584126664,0,5,2,568.278723829516,568.278723829516
1,1,455.196615538823,0,5,2,540.730492683113,540.730492683113
1,1,394.097361780684,0,5,2,539.33247563344,539.33247563344
1,1,361.860943842558,0,5,2,600.405737833803,600.405737833803
1,1,364.944648483732,0,5,2,440.265736040356,440.265736040356
